topicid,title,year,weight
18,ACM Computing Surveys,2009,0.5239
121,ACM Computing Surveys,2009,0.35635
139,ACM Computing Surveys,2009,0.7326
144,ACM Computing Surveys,2009,0.3107
150,ACM Computing Surveys,2009,0.3581
194,ACM Computing Surveys,2009,0.5642
37,ACM Computing Surveys,2010,0.2353
97,ACM Computing Surveys,2010,0.4147
171,ACM Computing Surveys,2010,0.3576
177,ACM Computing Surveys,2010,0.3662
191,ACM Computing Surveys,2010,0.2411
194,ACM Computing Surveys,2010,0.7893
37,ACM Computing Surveys,2011,0.2283
40,ACM Computing Surveys,2011,0.4765
58,ACM Computing Surveys,2011,0.4607
67,ACM Computing Surveys,2011,0.2387
124,ACM Computing Surveys,2011,0.3552
144,ACM Computing Surveys,2011,0.35935
150,ACM Computing Surveys,2011,0.3134
180,ACM Computing Surveys,2011,0.2062
191,ACM Computing Surveys,2011,0.4958
194,ACM Computing Surveys,2011,0.2406
214,ACM Computing Surveys,2011,0.2423
17,ACM Inroads,2010,0.523188889
39,ACM Inroads,2010,0.2089
45,ACM Inroads,2010,0.46876
131,ACM Inroads,2010,0.4586
177,ACM Inroads,2010,0.2187
17,ACM Inroads,2011,0.441085185
45,ACM Inroads,2011,0.445746667
131,ACM Inroads,2011,0.431945455
150,ACM Inroads,2011,0.3137
177,ACM Inroads,2011,0.685
180,ACM Inroads,2011,0.4997
197,ACM Inroads,2011,0.437066667
220,ACM Inroads,2011,0.39071
229,ACM Inroads,2011,0.2696
230,ACM Inroads,2011,0.5557
106,ACM Journal of Computer Documentation,2000,0.343
118,ACM Journal of Computer Documentation,2000,0.437583333
131,ACM Journal of Computer Documentation,2000,0.4001
139,ACM Journal of Computer Documentation,2000,0.352833333
197,ACM Journal of Computer Documentation,2000,0.5821
16,ACM Journal of Computer Documentation,2001,0.332
106,ACM Journal of Computer Documentation,2001,0.26845
139,ACM Journal of Computer Documentation,2001,0.46425
220,ACM Journal of Computer Documentation,2001,0.4204
58,ACM Journal of Computer Documentation,2002,0.417
118,ACM Journal of Computer Documentation,2002,0.33765
131,ACM Journal of Computer Documentation,2002,0.3084
150,ACM Journal of Computer Documentation,2002,0.2657
197,ACM Journal of Computer Documentation,2002,0.4582
171,ACM Journal on Emerging Technologies in Computing Systems,2005,0.7334
170,ACM Journal on Emerging Technologies in Computing Systems,2006,0.207
171,ACM Journal on Emerging Technologies in Computing Systems,2006,0.7013
233,ACM Journal on Emerging Technologies in Computing Systems,2006,0.38885
0,ACM Journal on Emerging Technologies in Computing Systems,2007,0.2927
171,ACM Journal on Emerging Technologies in Computing Systems,2007,0.2822
206,ACM Journal on Emerging Technologies in Computing Systems,2007,0.324
208,ACM Journal on Emerging Technologies in Computing Systems,2007,0.3893
233,ACM Journal on Emerging Technologies in Computing Systems,2007,0.31085
171,ACM Journal on Emerging Technologies in Computing Systems,2008,0.37885
206,ACM Journal on Emerging Technologies in Computing Systems,2008,0.2217
220,ACM Journal on Emerging Technologies in Computing Systems,2008,0.381
233,ACM Journal on Emerging Technologies in Computing Systems,2008,0.3383
171,ACM Journal on Emerging Technologies in Computing Systems,2009,0.546466667
233,ACM Journal on Emerging Technologies in Computing Systems,2009,0.3579
171,ACM Journal on Emerging Technologies in Computing Systems,2010,0.3685
233,ACM Journal on Emerging Technologies in Computing Systems,2010,0.3848
0,ACM Journal on Emerging Technologies in Computing Systems,2011,0.2078
40,ACM Journal on Emerging Technologies in Computing Systems,2011,0.227
171,ACM Journal on Emerging Technologies in Computing Systems,2011,0.516
248,ACM Journal on Emerging Technologies in Computing Systems,2011,0.2992
39,ACM Letters on Programming Languages and Systems,1992,0.3376
180,ACM Letters on Programming Languages and Systems,1992,0.3288
208,ACM Letters on Programming Languages and Systems,1992,0.2859
39,ACM Letters on Programming Languages and Systems,1993,0.2332
177,ACM Letters on Programming Languages and Systems,1993,0.4374
97,ACM SIGACCESS Accessibility and Computing,2003,0.374
106,ACM SIGACCESS Accessibility and Computing,2003,0.2214
118,ACM SIGACCESS Accessibility and Computing,2003,0.3981
139,ACM SIGACCESS Accessibility and Computing,2003,0.236
168,ACM SIGACCESS Accessibility and Computing,2003,0.682585714
197,ACM SIGACCESS Accessibility and Computing,2003,0.2509
230,ACM SIGACCESS Accessibility and Computing,2003,0.4195
118,ACM SIGACCESS Accessibility and Computing,2005,0.31325
131,ACM SIGACCESS Accessibility and Computing,2005,0.2493
139,ACM SIGACCESS Accessibility and Computing,2005,0.4669
168,ACM SIGACCESS Accessibility and Computing,2005,0.5676
197,ACM SIGACCESS Accessibility and Computing,2005,0.439925
230,ACM SIGACCESS Accessibility and Computing,2005,0.8697
97,ACM SIGACCESS Accessibility and Computing,2006,0.3276
106,ACM SIGACCESS Accessibility and Computing,2006,0.41325
139,ACM SIGACCESS Accessibility and Computing,2006,0.3228
